CD_MUN;NM_MUN; V06001 ; V06002 ; V06003 ; V06004 ; V06005 
2207108;Olho D'Água do Piauí; 894 ; 2.637 ; 2 ; 1.201 ; 1.467.094 
1503408;Inhangapi; 3.213 ; 10.313 ; 3 ; 1.201 ; 1.594.508 
2707800;Roteiro; 1.987 ; 6.468 ; 2 ; 1.201 ; 556.709 
2903235;Barro Alto; 4.748 ; 13.447 ; 2 ; 1.201 ; 2.120.586 
2927507;Santa Bárbara; 7.281 ; 20.935 ; 2 ; 1.200 ; 1.603.732 
1500701;Anajás; 6.369 ; 27.905 ; 5 ; 1.200 ; 2.931.338 
2608206;Joaquim Nabuco; 4.378 ; 13.266 ; 2 ; 1.200 ; 1.162.414 
2602001;Bodocó; 11.130 ; 34.441 ; 2 ; 1.200 ; 2.722.970 
2930204;Sento Sé; 11.694 ; 37.947 ; 3 ; 1.199 ; 1.632.267 
2507606;Juarez Távora; 2.799 ; 7.794 ; 2 ; 1.199 ; 2.709.943 
2206720;Nazária; 3.258 ; 10.235 ; 3 ; 1.199 ; 1.134.094 
2102309;Buriti Bravo; 6.658 ; 22.424 ; 3 ; 1.199 ; 1.878.622 
1301654;Guajará; 3.611 ; 13.790 ; 4 ; 1.198 ; 2.608.569 
2105351;Itaipava do Grajaú; 3.787 ; 13.734 ; 3 ; 1.198 ; 1.896.325 
2708402;São José da Tapera; 9.530 ; 30.576 ; 3 ; 1.198 ; 1.669.139 
2106607;Matões; 9.357 ; 32.104 ; 3 ; 1.197 ; 3.724.950 
2925709;Presidente Jânio Quadros; 4.429 ; 12.618 ; 2 ; 1.197 ; 3.238.912 
2100436;Alto Alegre do Maranhão; 7.540 ; 24.019 ; 3 ; 1.197 ; 3.489.937 
2312601;São Luís do Curu; 3.862 ; 10.784 ; 2 ; 1.197 ; 1.519.277 
1505403;Ourém; 5.754 ; 17.826 ; 2 ; 1.196 ; 2.292.779 
2107803;Parnarama; 9.444 ; 31.232 ; 3 ; 1.196 ; 2.625.430 
2512036;Poço Dantas; 1.277 ; 3.830 ; 2 ; 1.196 ; 1.894.966 
2902252;Arataca; 3.459 ; 10.148 ; 3 ; 1.195 ; 2.214.016 
